Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request hour,Trip duration (mins)
619,Airport,1,Trip Completed,2016-07-11 11:51:00,2016-07-11 13:00:00,11,69
867,Airport,1,Trip Completed,2016-07-11 17:57:00,2016-07-11 18:47:00,17,50
1807,City,1,Trip Completed,2016-07-12 09:17:00,2016-07-12 09:58:00,9,41
2532,Airport,1,Trip Completed,2016-07-12 21:08:00,2016-07-12 22:03:00,21,55
3112,City,1,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47,8,52.5166666666667
3879,Airport,1,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59,21,31.5166666666667
4270,Airport,1,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15,6,57.7166666666667
5510,Airport,1,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52,5,56
6248,City,1,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51,17,53.4
267,City,2,Trip Completed,2016-07-11 06:46:00,2016-07-11 07:25:00,6,39
1467,Airport,2,Trip Completed,2016-07-12 05:08:00,2016-07-12 06:02:00,5,54
1983,City,2,Trip Completed,2016-07-12 12:30:00,2016-07-12 12:57:00,12,27
2784,Airport,2,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03,4,33.7166666666667
3075,City,2,Trip Completed,2016-07-13 08:02:53,2016-07-13 09:16:19,8,73.4333333333333
3379,City,2,Trip Completed,2016-07-13 14:23:02,2016-07-13 15:35:18,14,72.2666666666667
3482,Airport,2,Trip Completed,2016-07-13 17:23:18,2016-07-13 18:20:51,17,57.55
4652,City,2,Trip Completed,2016-07-14 12:01:02,2016-07-14 12:36:46,12,35.7333333333333
5335,Airport,2,Trip Completed,2016-07-14 22:24:13,2016-07-14 23:18:52,22,54.65
535,Airport,3,Trip Completed,2016-07-11 10:00:00,2016-07-11 10:31:00,10,31
960,Airport,3,Trip Completed,2016-07-11 18:45:00,2016-07-11 19:23:00,18,38
1934,Airport,3,Trip Completed,2016-07-12 11:17:00,2016-07-12 12:23:00,11,66
2083,Airport,3,Trip Completed,2016-07-12 15:46:00,2016-07-12 16:40:00,15,54
2211,Airport,3,Trip Completed,2016-07-12 18:00:00,2016-07-12 18:28:00,18,28
3096,Airport,3,Trip Completed,2016-07-13 08:17:29,2016-07-13 09:22:37,8,65.1333333333333
3881,Airport,3,Trip Completed,2016-07-13 21:54:18,2016-07-13 22:51:23,21,57.0833333333333
5254,City,3,Trip Completed,2016-07-14 21:23:03,2016-07-14 22:25:19,21,62.2666666666667
5434,City,3,Trip Completed,2016-07-15 02:41:38,2016-07-15 03:24:43,2,43.0833333333333
5916,City,3,Trip Completed,2016-07-15 10:00:43,2016-07-15 10:53:06,10,52.3833333333333
